response_tokens2_list,response_tokens2_full,difference
334,334,0
54644,54644,0
535,535,0
77349,77349,0
389,389,0
75928,75928,0
40283,40283,0
25,25,0
12937,12937,0
37133,37133,0
57277,57277,0
334,334,0
34463,34463,0
7817,7817,0
25,25,0
57277,57277,0
1687,1687,0
3358,3358,0
990,990,0
449,449,0
264,264,0
28367,28367,0
10550,10550,0
8649,8649,0
220,262,-42
220,220,0
220,16,204
220,11,209
16,931,-915
11,10688,-10677
931,320,611
10688,1849,8839
320,8,312
1849,323,1526
8,220,-212
323,20,303
220,4519,-4299
20,320,-300
4519,16773,-12254
320,705,-385
16773,14393,2380
705,44682,-43977
14393,5708,8685
44682,7729,36953
5708,13,5695
7729,9062,-1333
13,6205,-6192
9062,34310,-25248
6205,311,5894
34310,264,34046
311,1938,-1627
264,596,-332
1938,15676,-13738
596,3430,-2834
15676,382,15294
3430,334,3096
382,22043,-21661
334,25,309
22043,57277,-35234
25,16,9
57277,13,57264
16,3146,-3130
13,1956,-1943
3146,334,2812
1956,10505,-8549
334,1275,-941
320,1680,-1360
22214,9050,13164
1680,2819,-1139
9050,11,9039
2819,24001,-21182
11,439,-428
24001,61691,-37690
439,19013,-18574
61691,41275,20416
19013,198,18815
41275,17,41258
198,13,185
17,3146,-3129
13,5109,-5096
3146,96618,-93472
5109,44682,-39573
96618,8736,87882
44682,5708,38974
8736,7729,1007
5708,198,5510
7729,18,7711
198,13,185
18,3146,-3128
13,12243,-12230
3146,96618,-93472
12243,44682,-32439
96618,8592,88026
44682,5708,38974
8592,7729,863
5708,2391,3317
7729,279,7450
2391,1938,453
279,198,81
1938,19,1919
198,13,185
19,3146,-3127
13,25162,-25149
3146,96618,-93472
25162,44682,-19520
96618,15821,80797
44682,5708,38974
15821,7729,8092
5708,2391,3317
7729,279,7450
2391,1938,453
279,198,81
1938,20,1918
198,13,185
20,3146,-3126
13,2535,-2522
3146,14,3132
2535,6531,-3996
14,96618,-96604
6531,44682,-38151
96618,1828,94790
44682,11477,33205
1828,15676,-13848
11477,5708,5769
15676,7729,7947
5708,320,5388
7729,12840,-5111
320,584,-264
12840,3358,9482
584,7168,-6584
3358,696,2662
7168,334,6834
696,41092,-40396
334,68063,-67729
41092,33810,7282
68063,279,67784
33810,1828,31982
279,11477,-11198
1828,15676,-13848
11477,5708,5769
15676,3430,12246
5708,29754,-24046
3430,2535,895
29754,14,29740
2535,6531,-3996
14,33981,-33967
6531,1701,4830
33981,264,33717
1701,5780,-4079
264,6975,-6711
5780,1646,4134
6975,382,6593
1646,334,1312
382,83463,-83081
334,55290,-54956
83463,25,83438
55290,57277,-1987
25,16,9
57277,13,57264
16,16729,-16713
13,49981,-49968
16729,4703,12026
49981,320,49661
4703,4940,-237
320,36,284
4940,340,4600
36,17,19
340,13,327
17,16729,-16712
13,49981,-49968
16729,64341,-47612
49981,4703,45278
64341,320,64021
4703,4940,-237
320,1777,-1457
4940,340,4600
1777,18,1759
340,13,327
18,432,-414
13,6354,-6341
432,35349,-34917
6354,320,6034
35349,49,35300
320,30556,-30236
49,696,-647
30556,334,30222
696,4808,-4112
334,21315,-20981
4808,25,4783
21315,57277,-35962
25,16,9
57277,13,57264
16,7316,-7300
13,1595,-1582
7316,1956,5360
1595,63,1532
1956,311,1645
63,264,-201
311,9050,-8739
264,3645,-3381
9050,14791,-5741
3645,369,3276
14791,34579,-19788
369,320,49
34579,68,34511
320,1326,-1006
68,2637,-2569
1326,19130,-17804
2637,33858,-31221
19130,4390,14740
33858,17,33841
4390,13,4377
17,69192,-69175
13,682,-669
69192,35876,33316
682,4519,-3837
35876,29754,6122
4519,5109,-590
29754,7964,21790
5109,1595,3514
7964,12243,-4279
1595,7964,-6369
12243,1595,10648
7964,25162,-17198
1595,7964,-6369
25162,1595,23567
7964,2535,5429
1595,14,1581
2535,6531,-3996
14,33981,-33967
6531,1701,4830
33981,12028,21953
1701,2522,-821
12028,13412,-1384
2522,320,2202
13412,14486,-1074
320,3152,-2832
14486,11,14475
3152,5089,-1937
11,33373,-33362
5089,3677,1412
33373,334,33039
3677,1747,1930
334,25117,-24783
1747,25,1722
25117,57277,-32160
25,16,9
57277,13,57264
16,3146,-3130
13,32998,-32985
3146,48570,-45424
32998,334,32664
48570,320,48250
334,20721,-20387
320,1680,-1360
20721,264,20457
1680,4382,-2702
264,11,253
4382,13790,-9408
11,26954,-26943
13790,1646,12144
26954,627,26327
1646,17,1629
627,13,614
17,3146,-3129
13,6720,-6707
3146,10928,-7782
6720,9469,-2749
10928,4289,6639
9469,14171,-4702
4289,320,3969
14171,43,14128
320,36949,-36629
43,8,35
36949,61577,-24628
8,8304,-8296
61577,96618,-35041
8304,264,8040
96618,5526,91092
264,5873,-5609
5526,369,5157
5873,892,4981
369,4101,-3732
892,79482,-78590
4101,627,3474
79482,18,79464
627,13,614
18,3146,-3128
13,30469,-30456
3146,34507,-31361
30469,287,30182
34507,3263,31244
287,676,-389
3263,269,2994
676,334,342
269,320,-51
334,5494,-5160
320,49,271
5494,1680,3814
49,264,-215
1680,22514,-20834
264,11,253
22514,40126,-17612
11,6108,-6097
40126,1646,38480
6108,382,5726
1646,334,1312
382,1747,-1365
334,31913,-31579
1747,25,1722
31913,57277,-25364
25,74694,-74669
57277,12958,44319
74694,198,74496
12958,475,12483
198,19130,-18932
475,439,36
19130,7900,11230
439,198,241
7900,1527,6373
198,18471,-18273
1527,60064,-58537
18471,1179,17292
60064,12028,48036
1179,60653,-59474
12028,198,11830
60653,1527,59126
198,18471,-18273
1527,39105,-37578
18471,5156,13315
39105,1179,37926
5156,29363,-24207
1179,46300,-45121
29363,198,29165
46300,1527,44773
198,26773,-26575
1527,8399,-6872
26773,1179,25594
8399,60109,-51710
1179,198,981
60109,1527,58582
198,26773,-26575
1527,21680,-20153
26773,1179,25594
21680,86571,-64891
1179,11,1168
86571,43622,42949
11,198,-187
43622,1527,42095
198,18471,-18273
1527,13,1514
18471,49575,-31104
13,1179,-1166
49575,54207,-4632
1179,53463,-52284
54207,287,53920
53463,94239,-40776
287,198,89
94239,1527,92712
198,18471,-18273
1527,36459,-34932
18471,1179,17292
36459,3152,33307
1179,51974,-50795
3152,4188,-1036
51974,11,51963
4188,3152,1036
11,51974,-51963
3152,47144,-43992
51974,4188,47786
47144,11,47133
4188,436,3752
11,17,-6
436,10622,-10186
17,271,-254
10622,2,10620
271,9069,-8798
2,28367,-28365
9069,10550,-1481
28367,198,28169
10550,3013,7537
198,284,-86
3013,7900,-4887
284,4217,-3933
7900,14347,-6447
4217,446,3771
14347,20960,-6613
446,18015,-17569
20960,31641,-10681
18015,66788,-48773
31641,11468,20173
66788,5240,61548
11468,2,11466
5240,5075,165
2,21315,-21313
5075,198,4877
21315,1045,20270
198,11133,-10935
1045,284,761
11133,7900,3233
284,2446,-2162
7900,30043,-22143
2446,16446,-14000
30043,681,29362
16446,1956,14490
681,7519,-6838
1956,3013,-1057
7519,19628,-12109
3013,493,2520
19628,1956,17672
493,518,-25
1956,8183,-6227
518,28,490
8183,16,8167
28,11,17
16,42994,-42978
11,3702,-3691
42994,340,42654
3702,2445,1257
340,13412,-13072
2445,284,2161
13412,12028,1384
284,60653,-60369
12028,746,11282
60653,3013,57640
746,57430,-56684
3013,5109,-2096
57430,518,56912
5109,364,4745
518,12243,-11725
364,518,-154
12243,364,11879
518,25162,-24644
364,518,-154
25162,364,24798
518,2535,-2017
364,14,350
2535,6531,-3996
14,31940,-31926
6531,284,6247
31940,69824,-37884
284,21529,-21245
69824,18956,50868
21529,16446,5083
18956,57430,-38474
16446,5109,11337
57430,518,56912
5109,364,4745
518,12243,-11725
364,518,-154
12243,364,11879
518,25162,-24644
364,518,-154
25162,364,24798
518,2535,-2017
364,14,350
2535,6531,-3996
14,663,-649
6531,9801,-3270
663,2,661
9801,28910,-19109
2,828,-826
28910,1139,27771
828,4967,-4139
1139,320,819
4967,1490,3477
320,11587,-11267
1490,323,1167
11587,10741,846
323,320,3
10741,508,10233
320,127196,-126876
508,10613,-10105
127196,11133,116063
10613,11,10602
11133,1062,10071
11,11133,-11122
1062,284,778
11133,6907,4226
284,5402,-5118
6907,8793,-1886
5402,2424,2978
8793,28,8765
2424,15,2409
28,13,15
15,17,-2
13,11,2
17,4288,-4271
11,4486,-4475
4288,28,4260
4486,2983,1503
28,696,-668
2983,2,2981
696,27972,-27276
2,198,-196
27972,19555,8417
198,5156,-4958
19555,284,19271
5156,29363,-24207
284,46300,-46016
29363,746,28617
46300,75,46225
746,25897,-25151
75,5156,-5081
25897,284,25613
5156,60109,-54953
284,9133,-8849
60109,262,59847
9133,86571,-77438
262,84165,-83903
86571,28,86543
84165,1135,83030
28,11,17
1135,471,664
11,59832,-59821
471,5725,-5254
59832,11,59821
5725,1988,3737
11,13911,-13900
1988,4640,-2652
13911,10613,3298
4640,11133,-6493
10613,7201,3412
11133,58,11075
7201,16,7185
58,11958,-11900
16,16,0
11958,11,11947
16,220,-204
11,16,-5
220,7110,-6890
16,262,-246
7110,43622,-36512
262,7,255
43622,16,43606
7,340,-333
16,2608,-2592
340,75,265
2608,25897,-23289
75,5156,-5081
25897,19458,6439
5156,45312,-40156
19458,1151,18307
45312,14622,30690
1151,55741,-54590
14622,4188,10434
55741,518,55223
4188,26714,-22526
518,1151,-633
26714,52054,-25340
1151,1329,-178
52054,70,51984
1329,1347,-18
9701,83,9618
3423,5156,-1733
5156,284,4872
284,54207,-53923
54207,53463,744
53463,287,53176
287,94239,-93952
94239,1471,92768
1471,82154,-80683
82154,28,82126
28,1041,-1013
1041,11,1030
11,4288,-4277
4288,4486,-198
4486,28,4458
28,2983,-2955
2983,696,2287
696,2,694
2,27217,-27215
27217,4211,23006
4211,198,4013
198,19555,-19357
19555,5156,14399
5156,21529,-16373
21529,20925,604
20925,11133,9792
11133,19628,-8495
19628,493,19135
493,2535,-2042
2535,14,2521
14,6531,-6517
6531,518,6013
518,8183,-7665
8183,28,8155
28,16,12
16,705,-689
705,5542,-4837
5542,11133,-5591
11133,681,10452
681,2535,-1854
2535,14,2521
14,6531,-6517
6531,7519,-988
7519,75,7444
75,25897,-25822
25897,5156,20741
5156,21529,-16373
21529,20925,604
20925,11133,9792
11133,19628,-8495
19628,493,19135
493,2535,-2042
2535,14,2521
14,6531,-6517
6531,518,6013
518,8183,-7665
8183,28,8155
28,16,12
16,570,-554
570,16529,-15959
16529,4172,12357
4172,16,4156
16,11,5
11,220,-209
220,16,204
16,11,5
11,220,-209
220,18,202
18,705,-687
705,5542,-4837
5542,11133,-5591
11133,681,10452
681,2535,-1854
2535,14,2521
14,6531,-6517
6531,4181,2350
4181,40446,-36265
40446,28,40418
28,1135,-1107
1135,340,795
340,70,270
9701,1347,8354
3423,83,3340
5156,5156,0
21529,21529,0
20925,20925,0
11133,11133,0
19628,19628,0
493,493,0
2535,2535,0
14,14,0
6531,6531,0
518,518,0
8183,8183,0
28,28,0
16,16,0
705,705,0
5542,5542,0
11133,11133,0
681,681,0
2535,2535,0
14,14,0
6531,6531,0
24287,24287,0
2,2,0
55215,55215,0
4211,4211,0
389,389,0
10741,10741,0
743,743,0
198,198,0
88,88,0
13125,13125,0
47186,47186,0
284,284,0
28159,28159,0
5156,5156,0
24706,24706,0
9276,9276,0
11133,11133,0
19628,19628,0
493,493,0
2535,2535,0
14,14,0
6531,6531,0
518,518,0
8183,8183,0
28,28,0
16,16,0
1192,1192,0
88,88,0
13125,13125,0
97497,97497,0
284,284,0
98905,98905,0
5156,5156,0
24706,24706,0
9276,9276,0
11133,11133,0
19628,19628,0
493,493,0
2535,2535,0
14,14,0
6531,6531,0
518,518,0
8183,8183,0
28,28,0
16,16,0
570,570,0
16529,16529,0
4172,4172,0
16,16,0
11,11,0
220,220,0
16,16,0
11,11,0
220,220,0
18,18,0
1192,1192,0
88,88,0
13125,13125,0
1928,1928,0
1347,1347,0
83,83,0
284,284,0
48115,342,47773
3423,1347,2076
5156,83,5073
24706,5156,19550
9276,24706,-15430
11133,9276,1857
19628,11133,8495
493,19628,-19135
2535,493,2042
14,2535,-2521
6531,14,6517
518,6531,-6013
8183,518,7665
28,8183,-8155
16,28,-12
4489,16,4473
1374,4489,-3115
446,1374,-928
83463,446,83017
55290,83463,-28173
35503,55290,-19787
1374,35503,-34129
446,1374,-928
20721,446,20275
25,20721,-20696
9917,25,9892
36,9917,-9881
60735,36,60699
3152,60735,-57583
51974,3152,48822
4188,51974,-47786
7166,4188,2978
13125,7166,5959
47186,13125,34061
11,47186,-47175
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
30340,6531,23809
415,30340,-29925
3755,415,3340
9917,3755,6162
1777,9917,-8140
60735,1777,58958
3152,60735,-57583
51974,3152,48822
47144,51974,-4830
4188,47144,-42956
7166,4188,2978
13125,7166,5959
47186,13125,34061
11,47186,-47175
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
30340,6531,23809
415,30340,-29925
3755,415,3340
432,3755,-3323
30556,432,30124
60735,30556,30179
436,60735,-60299
17,436,-419
10622,17,10605
7166,10622,-3456
13125,7166,5959
47186,13125,34061
11,47186,-47175
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
20084,6531,13553
1374,20084,-18710
446,1374,-928
43,446,-403
36949,43,36906
25,36949,-36924
9917,25,9892
36,9917,-9881
60735,36,60699
3152,60735,-57583
51974,3152,48822
4188,51974,-47786
7166,4188,2978
13125,7166,5959
97497,13125,84372
11,97497,-97486
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
30340,6531,23809
415,30340,-29925
3755,415,3340
9917,3755,6162
1777,9917,-8140
60735,1777,58958
3152,60735,-57583
51974,3152,48822
47144,51974,-4830
4188,47144,-42956
7166,4188,2978
13125,7166,5959
97497,13125,84372
11,97497,-97486
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
30340,6531,23809
415,30340,-29925
3755,415,3340
432,3755,-3323
30556,432,30124
60735,30556,30179
436,60735,-60299
17,436,-419
10622,17,10605
7166,10622,-3456
13125,7166,5959
97497,13125,84372
11,97497,-97486
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
20084,6531,13553
1374,20084,-18710
446,1374,-928
5494,446,5048
5463,5494,-31
25,5463,-5438
9917,25,9892
36,9917,-9881
60735,36,60699
3152,60735,-57583
51974,3152,48822
4188,51974,-47786
7166,4188,2978
13125,7166,5959
1928,13125,-11197
1347,1928,-581
83,1347,-1264
11,83,-72
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
30340,6531,23809
415,30340,-29925
3755,415,3340
9917,3755,6162
1777,9917,-8140
60735,1777,58958
3152,60735,-57583
51974,3152,48822
47144,51974,-4830
4188,47144,-42956
7166,4188,2978
13125,7166,5959
1928,13125,-11197
1347,1928,-581
83,1347,-1264
11,83,-72
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
30340,6531,23809
415,30340,-29925
3755,415,3340
432,3755,-3323
30556,432,30124
60735,30556,30179
436,60735,-60299
17,436,-419
10622,17,10605
7166,10622,-3456
13125,7166,5959
1928,13125,-11197
1347,1928,-581
83,1347,-1264
11,83,-72
1062,11,1051
11133,1062,10071
681,11133,-10452
2535,681,1854
14,2535,-2521
6531,14,6517
20084,6531,13553
14196,20084,-5888
19884,14196,5688
334,19884,-19550
10001,334,9667
25,10001,-9976
57277,25,57252
16,57277,-57261
13,16,-3
3146,13,3133
32998,3146,29852
48570,32998,15572
320,48570,-48250
20721,320,20401
33395,20721,12674
25,33395,-33370
9917,25,9892
36,9917,-9881
25,36,-11
220,25,195
17,220,-203
13,17,-4
1758,13,1745
11,1758,-1747
9917,11,9906
1777,9917,-8140
25,1777,-1752
220,25,195
17,220,-203
13,17,-4
3971,13,3958
13689,3971,9718
432,13689,-13257
30556,432,30124
25,30556,-30531
220,25,195
15,220,-205
13,15,-2
4767,13,4754
198,4767,-4569
17,198,-181
13,17,-4
3146,13,3133
6720,3146,3574
10928,6720,4208
9469,10928,-1459
4289,9469,-5180
14171,4289,9882
320,14171,-13851
43,320,-277
36949,43,36906
33395,36949,-3554
25,33395,-33370
9917,25,9892
36,9917,-9881
25,36,-11
220,25,195
16,220,-204
13,16,-3
6365,13,6352
11,6365,-6354
9917,11,9906
1777,9917,-8140
25,1777,-1752
220,25,195
16,220,-204
13,16,-3
6365,13,6352
13689,6365,7324
432,13689,-13257
30556,432,30124
25,30556,-30531
220,25,195
15,220,-205
13,15,-2
5833,13,5820
198,5833,-5635
18,198,-180
13,18,-5
3146,13,3133
30469,3146,27323
34507,30469,4038
287,34507,-34220
3263,287,2976
676,3263,-2587
269,676,-407
320,269,51
5494,320,5174
5463,5494,-31
33395,5463,27932
25,33395,-33370
9917,25,9892
36,9917,-9881
25,36,-11
220,25,195
16,220,-204
13,16,-3
